TimeStep,PosX,PosY,PosZ,QuatW,QuatX,QuatY,QuatZ
0.000000,0.370879,0.793764,0.984655,0.994586,0.000172,-0.006363,0.103722
0.027000,0.370921,0.793445,0.984373,0.994638,-0.000498,-0.006348,0.103219
0.069000,0.370992,0.793063,0.983887,0.994708,-0.001843,-0.006280,0.102537
0.097000,0.370825,0.792774,0.983664,0.994731,-0.003392,-0.007123,0.102212
0.139000,0.370900,0.792434,0.983287,0.994770,-0.003253,-0.006668,0.101875
0.166000,0.370699,0.792041,0.983043,0.994763,-0.003622,-0.006981,0.101905
0.194000,0.370675,0.791382,0.982547,0.994739,-0.003280,-0.006325,0.102196
0.236000,0.370521,0.790409,0.981742,0.994756,-0.004702,-0.006712,0.101944
0.263000,0.370431,0.789535,0.981267,0.994697,-0.006263,-0.007006,0.102422
0.292000,0.370649,0.788419,0.980983,0.994773,-0.005738,-0.007016,0.101703
0.333000,0.370972,0.786578,0.980656,0.994886,-0.005657,-0.007614,0.100562
0.361000,0.371212,0.785174,0.980330,0.994944,-0.005120,-0.007457,0.100022
0.405000,0.371735,0.782911,0.979654,0.995087,-0.004852,-0.007137,0.098629
0.433000,0.372056,0.781619,0.979181,0.995120,-0.005765,-0.007748,0.098203
0.472000,0.373151,0.778959,0.978198,0.995320,-0.005495,-0.006925,0.096226
0.499000,0.373644,0.777343,0.977549,0.995443,-0.006058,-0.007071,0.094900
0.527000,0.374314,0.775737,0.976960,0.995498,-0.006738,-0.007193,0.094272
0.569000,0.375156,0.773161,0.975837,0.995732,-0.006867,-0.006399,0.091814
0.597000,0.375453,0.771425,0.975281,0.995742,-0.007203,-0.006256,0.091688
0.638000,0.375855,0.768471,0.974538,0.995850,-0.005971,-0.005271,0.090661
0.664000,0.375721,0.766516,0.974098,0.995891,-0.006403,-0.005890,0.090146
0.694000,0.375545,0.764553,0.973774,0.995804,-0.007818,-0.006514,0.090946
0.736000,0.375376,0.760920,0.973553,0.995800,-0.010577,-0.007873,0.090602
0.763000,0.375350,0.758258,0.973797,0.995876,-0.011379,-0.009472,0.089505
0.805000,0.375740,0.753515,0.973990,0.996085,-0.010831,-0.010783,0.087064
0.832000,0.375839,0.750474,0.974191,0.996216,-0.012618,-0.012229,0.085118
0.860000,0.376282,0.747020,0.974101,0.996343,-0.012748,-0.012959,0.083483
0.902000,0.376968,0.742453,0.973650,0.996715,-0.014433,-0.014595,0.078339
0.931000,0.377189,0.739329,0.973122,0.996810,-0.015706,-0.013933,0.077002
0.958000,0.377391,0.735935,0.972694,0.997020,-0.015537,-0.015104,0.074032
1.000000,0.377487,0.730927,0.971325,0.997180,-0.015912,-0.013985,0.071996
1.027000,0.377433,0.726885,0.970088,0.997352,-0.013492,-0.012853,0.070293
1.068000,0.377438,0.721200,0.967668,0.997568,-0.014255,-0.012981,0.066974
1.096000,0.377883,0.716948,0.966247,0.997723,-0.013339,-0.010393,0.065287
1.125000,0.378631,0.712535,0.964898,0.997965,-0.012554,-0.009296,0.061820
1.166000,0.379992,0.705317,0.963543,0.998369,-0.010715,-0.008899,0.055372
