TimeStep,PosX,PosY,PosZ,QuatW,QuatX,QuatY,QuatZ
0.000000,1.500000,-1.000000,0.800000,0.371706,-0.499307,-0.616209,0.482507
0.010000,1.500000,-1.000000,0.800000,0.371706,-0.499307,-0.616209,0.482507
0.020000,1.500000,-1.000000,0.800000,0.371706,-0.499307,-0.616209,0.482507
0.030000,1.500000,-1.000000,0.800000,0.371706,-0.499307,-0.616209,0.482507
0.040000,1.500000,-1.000000,0.800000,0.371706,-0.499307,-0.616209,0.482507
0.050000,1.499999,-0.999999,0.800000,0.371706,-0.499308,-0.616209,0.482507
0.060000,1.499999,-0.999999,0.799999,0.371706,-0.499308,-0.616209,0.482507
0.070000,1.499998,-0.999998,0.799999,0.371706,-0.499308,-0.616209,0.482507
0.080000,1.499998,-0.999997,0.799998,0.371706,-0.499308,-0.616209,0.482506
0.090000,1.499997,-0.999996,0.799998,0.371707,-0.499308,-0.616209,0.482506
0.100000,1.499996,-0.999994,0.799997,0.371707,-0.499308,-0.616209,0.482505
0.110000,1.499994,-0.999992,0.799996,0.371707,-0.499308,-0.616209,0.482505
0.120000,1.499992,-0.999990,0.799994,0.371708,-0.499308,-0.616210,0.482504
0.130000,1.499990,-0.999987,0.799993,0.371709,-0.499308,-0.616210,0.482503
0.140000,1.499988,-0.999984,0.799991,0.371709,-0.499309,-0.616210,0.482502
0.150000,1.499985,-0.999980,0.799989,0.371710,-0.499309,-0.616210,0.482501
0.160000,1.499982,-0.999976,0.799987,0.371711,-0.499309,-0.616210,0.482500
0.170000,1.499979,-0.999971,0.799984,0.371712,-0.499309,-0.616210,0.482499
0.180000,1.499975,-0.999966,0.799981,0.371714,-0.499310,-0.616210,0.482497
0.190000,1.499970,-0.999960,0.799978,0.371715,-0.499310,-0.616211,0.482495
0.200000,1.499965,-0.999954,0.799974,0.371717,-0.499311,-0.616211,0.482493
0.210000,1.499960,-0.999946,0.799970,0.371718,-0.499311,-0.616211,0.482491
0.220000,1.499954,-0.999938,0.799966,0.371720,-0.499312,-0.616211,0.482489
0.230000,1.499947,-0.999930,0.799961,0.371722,-0.499312,-0.616212,0.482486
0.240000,1.499940,-0.999920,0.799956,0.371725,-0.499313,-0.616212,0.482483
0.250000,1.499932,-0.999910,0.799950,0.371727,-0.499313,-0.616212,0.482480
0.260000,1.499924,-0.999899,0.799944,0.371730,-0.499314,-0.616213,0.482477
0.270000,1.499915,-0.999886,0.799938,0.371733,-0.499315,-0.616213,0.482473
0.280000,1.499905,-0.999874,0.799930,0.371736,-0.499316,-0.616214,0.482470
0.290000,1.499895,-0.999860,0.799923,0.371739,-0.499317,-0.616214,0.482465
0.300000,1.499884,-0.999845,0.799915,0.371743,-0.499318,-0.616215,0.482461
0.310000,1.499872,-0.999829,0.799906,0.371747,-0.499319,-0.616215,0.482456
0.320000,1.499859,-0.999812,0.799897,0.371751,-0.499320,-0.616216,0.482451
0.330000,1.499846,-0.999794,0.799887,0.371755,-0.499321,-0.616216,0.482446
0.340000,1.499831,-0.999775,0.799876,0.371760,-0.499322,-0.616217,0.482440
0.350000,1.499816,-0.999755,0.799865,0.371764,-0.499324,-0.616218,0.482434
0.360000,1.499800,-0.999733,0.799853,0.371770,-0.499325,-0.616218,0.482428
0.370000,1.499783,-0.999711,0.799841,0.371775,-0.499327,-0.616219,0.482421
0.380000,1.499765,-0.999687,0.799828,0.371781,-0.499328,-0.616220,0.482414
0.390000,1.499747,-0.999662,0.799814,0.371787,-0.499330,-0.616221,0.482407
0.400000,1.499727,-0.999636,0.799800,0.371793,-0.499332,-0.616222,0.482399
0.410000,1.499706,-0.999608,0.799784,0.371800,-0.499334,-0.616223,0.482391
0.420000,1.499684,-0.999579,0.799769,0.371807,-0.499336,-0.616224,0.482382
0.430000,1.499662,-0.999549,0.799752,0.371814,-0.499338,-0.616225,0.482373
0.440000,1.499638,-0.999517,0.799734,0.371822,-0.499340,-0.616226,0.482364
0.450000,1.499613,-0.999484,0.799716,0.371829,-0.499342,-0.616227,0.482354
0.460000,1.499587,-0.999449,0.799697,0.371838,-0.499344,-0.616228,0.482343
0.470000,1.499560,-0.999413,0.799677,0.371846,-0.499347,-0.616229,0.482333
0.480000,1.499532,-0.999376,0.799657,0.371856,-0.499349,-0.616230,0.482321
0.490000,1.499502,-0.999337,0.799635,0.371865,-0.499352,-0.616232,0.482310
0.500000,1.499472,-0.999296,0.799613,0.371875,-0.499354,-0.616233,0.482298
0.510000,1.499440,-0.999253,0.799589,0.371885,-0.499357,-0.616235,0.482285
0.520000,1.499407,-0.999209,0.799565,0.371895,-0.499360,-0.616236,0.482272
0.530000,1.499373,-0.999164,0.799540,0.371906,-0.499363,-0.616238,0.482258
0.540000,1.499337,-0.999117,0.799514,0.371918,-0.499366,-0.616239,0.482244
0.550000,1.499301,-0.999068,0.799487,0.371930,-0.499370,-0.616241,0.482230
0.560000,1.499263,-0.999017,0.799459,0.371942,-0.499373,-0.616243,0.482214
0.570000,1.499223,-0.998964,0.799430,0.371954,-0.499377,-0.616244,0.482199
0.580000,1.499182,-0.998910,0.799400,0.371967,-0.499380,-0.616246,0.482183
0.590000,1.499140,-0.998854,0.799369,0.371981,-0.499384,-0.616248,0.482166
0.600000,1.499097,-0.998796,0.799338,0.371995,-0.499388,-0.616250,0.482149
0.610000,1.499052,-0.998736,0.799305,0.372009,-0.499392,-0.616252,0.482131
0.620000,1.499005,-0.998674,0.799271,0.372024,-0.499396,-0.616254,0.482112
0.630000,1.498958,-0.998610,0.799236,0.372040,-0.499400,-0.616257,0.482093
0.640000,1.498908,-0.998544,0.799199,0.372055,-0.499405,-0.616259,0.482074
0.650000,1.498857,-0.998477,0.799162,0.372072,-0.499409,-0.616261,0.482053
0.660000,1.498805,-0.998407,0.799124,0.372088,-0.499414,-0.616263,0.482033
0.670000,1.498751,-0.998335,0.799084,0.372106,-0.499419,-0.616266,0.482011
0.680000,1.498696,-0.998261,0.799044,0.372124,-0.499423,-0.616268,0.481989
0.690000,1.498639,-0.998185,0.799002,0.372142,-0.499429,-0.616271,0.481966
0.700000,1.498580,-0.998107,0.798959,0.372161,-0.499434,-0.616274,0.481943
0.710000,1.498520,-0.998027,0.798915,0.372180,-0.499439,-0.616276,0.481919
0.720000,1.498458,-0.997944,0.798869,0.372200,-0.499445,-0.616279,0.481895
0.730000,1.498395,-0.997860,0.798823,0.372220,-0.499450,-0.616282,0.481869
0.740000,1.498330,-0.997773,0.798775,0.372241,-0.499456,-0.616285,0.481843
0.750000,1.498263,-0.997684,0.798726,0.372263,-0.499462,-0.616288,0.481817
0.760000,1.498194,-0.997592,0.798676,0.372285,-0.499468,-0.616291,0.481789
0.770000,1.498124,-0.997499,0.798624,0.372307,-0.499474,-0.616294,0.481761
0.780000,1.498052,-0.997403,0.798571,0.372330,-0.499481,-0.616298,0.481733
0.790000,1.497978,-0.997304,0.798517,0.372354,-0.499487,-0.616301,0.481703
0.800000,1.497903,-0.997203,0.798462,0.372378,-0.499494,-0.616304,0.481673
0.810000,1.497825,-0.997100,0.798405,0.372403,-0.499501,-0.616308,0.481642
0.820000,1.497746,-0.996995,0.798347,0.372429,-0.499508,-0.616311,0.481611
0.830000,1.497665,-0.996887,0.798288,0.372455,-0.499515,-0.616315,0.481578
0.840000,1.497582,-0.996776,0.798227,0.372481,-0.499523,-0.616319,0.481545
0.850000,1.497497,-0.996663,0.798165,0.372509,-0.499530,-0.616323,0.481512
0.860000,1.497411,-0.996547,0.798101,0.372536,-0.499538,-0.616327,0.481477
0.870000,1.497322,-0.996429,0.798036,0.372565,-0.499546,-0.616331,0.481442
0.880000,1.497232,-0.996309,0.797970,0.372594,-0.499554,-0.616335,0.481405
0.890000,1.497139,-0.996185,0.797902,0.372624,-0.499562,-0.616339,0.481368
0.900000,1.497045,-0.996059,0.797833,0.372654,-0.499570,-0.616343,0.481331
0.910000,1.496948,-0.995931,0.797762,0.372685,-0.499579,-0.616348,0.481292
0.920000,1.496850,-0.995800,0.797690,0.372717,-0.499588,-0.616352,0.481253
0.930000,1.496749,-0.995666,0.797616,0.372749,-0.499597,-0.616357,0.481213
0.940000,1.496647,-0.995529,0.797541,0.372782,-0.499606,-0.616361,0.481172
0.950000,1.496542,-0.995390,0.797464,0.372816,-0.499615,-0.616366,0.481130
0.960000,1.496436,-0.995248,0.797386,0.372850,-0.499625,-0.616371,0.481087
0.970000,1.496327,-0.995103,0.797306,0.372885,-0.499634,-0.616376,0.481044
0.980000,1.496216,-0.994955,0.797225,0.372921,-0.499644,-0.616381,0.480999
0.990000,1.496103,-0.994804,0.797142,0.372957,-0.499654,-0.616386,0.480954
1.000000,1.495988,-0.994651,0.797058,0.372995,-0.499665,-0.616391,0.480908
1.010000,1.495871,-0.994495,0.796972,0.373032,-0.499675,-0.616396,0.480861
1.020000,1.495752,-0.994335,0.796884,0.373071,-0.499686,-0.616402,0.480813
1.030000,1.495630,-0.994173,0.796795,0.373110,-0.499697,-0.616407,0.480765
1.040000,1.495506,-0.994008,0.796704,0.373150,-0.499708,-0.616413,0.480715
1.050000,1.495380,-0.993840,0.796612,0.373191,-0.499719,-0.616418,0.480664
1.060000,1.495252,-0.993669,0.796518,0.373232,-0.499730,-0.616424,0.480613
1.070000,1.495121,-0.993495,0.796422,0.373274,-0.499742,-0.616430,0.480560
1.080000,1.494989,-0.993318,0.796325,0.373317,-0.499754,-0.616436,0.480507
1.090000,1.494853,-0.993138,0.796226,0.373361,-0.499766,-0.616442,0.480453
1.100000,1.494716,-0.992955,0.796125,0.373405,-0.499778,-0.616448,0.480398
1.110000,1.494576,-0.992768,0.796023,0.373450,-0.499790,-0.616455,0.480342
1.120000,1.494434,-0.992579,0.795919,0.373496,-0.499803,-0.616461,0.480284
1.130000,1.494290,-0.992387,0.795813,0.373543,-0.499816,-0.616467,0.480226
1.140000,1.494143,-0.992191,0.795705,0.373591,-0.499829,-0.616474,0.480167
1.150000,1.493994,-0.991992,0.795596,0.373639,-0.499842,-0.616481,0.480107
1.160000,1.493843,-0.991790,0.795485,0.373688,-0.499856,-0.616488,0.480046
1.170000,1.493689,-0.991585,0.795372,0.373738,-0.499870,-0.616495,0.479984
1.180000,1.493532,-0.991376,0.795257,0.373788,-0.499884,-0.616502,0.479921
1.190000,1.493373,-0.991165,0.795140,0.373840,-0.499898,-0.616509,0.479857
1.200000,1.493212,-0.990949,0.795022,0.373892,-0.499912,-0.616516,0.479792
1.210000,1.493048,-0.990731,0.794902,0.373945,-0.499927,-0.616523,0.479726
1.220000,1.492882,-0.990510,0.794780,0.373999,-0.499942,-0.616531,0.479659
1.230000,1.492713,-0.990285,0.794656,0.374054,-0.499957,-0.616538,0.479591
1.240000,1.492542,-0.990056,0.794531,0.374109,-0.499972,-0.616546,0.479522
